citation,author,book
" Écrire, c'est comme avoir un rendez-vous d'amour dangereux. J'ai toujours aimé la littérature. Elle m'a toujours aidée. C'est la seule réponse à la terre. Je n'ai jamais pensé que je lui rendais service. ",Françoise Sagan,"    Un certain regard, éd. L'Herne                                "
" Comment voulez-vous vivre sans écrire ? C'est tellement difficile de vivre que sans écrire, la vie n'est juste pas possible. ",Amélie Nothomb,
 J'écris seulement si quelque chose me coule du cœur jusqu'aux mains. ,Christian Bobin,
" Pour bien écrire, il faut sauter les idées intermédiaires, assez pour n'être pas ennuyeux, pas trop de peur de n'être pas entendu. ",Montesquieu,"    Voyages, Mes pensées, Histoire véritable                                "
 Chaque écrivain raconte toujours une même obsession. ,Umberto Eco,
" À la différence de l'historien qui voue un culte aux faits et les entoure d'un respect scrupuleux, l'écrivain n'a de plaisir (et peut-être d'utilité) qu'en les trahissant. ",Jean-Christophe Rufin,    Katiba - Ed. Flammarion                                
" Il faudrait bien comprendre que le rôle de l'école est d'apprendre aux enfants ce qu'est le monde, et non pas leur inculquer l'art de vivre. ",Hannah Arendt,
" L'éducation ne consiste pas simplement à passer des examens, à obtenir un diplôme et une situation, à se marier et à s'installer, mais encore à savoir comment écouter les oiseaux, comment voir le ciel, l'étonnante beauté d'un arbre, le dessin des collines, comment les sentir, comment être vraiment en contact avec toutes ces choses. ",Jiddu Krishnamurti,
" Ce que tout le monde appelle éducation est une machine à fabriquer des soldats de la pseudo-économie, et non de futurs êtres humains accomplis, capables de penser, de critiquer, de créer, de maîtriser et de gérer leurs émotions, ainsi que de ce que nous appelons spiritualité. ",Pierre Rabhi,    Vers la sobriété heureuse                                
 Les diplômes représentent un obstacle à la liberté de l'éducation. ,Ivan Illich,    Une société sans école - Ed Seuil                                
 L'inégalité est la cause de tout mouvement local. Il n'est point de repos sans égalité. ,Léonard de Vinci,
" Un régime civil et représentatif, né d'élections libres, soutenu par la loi et contrôlé par la liberté de la presse, même corrompu et inefficace, sera toujours préférable à une dictature. ",Mario Vargas Llosa,"    Les enjeux de la liberté, Ed. Gallimard                                "
 La sagesse commence dans l'émerveillement. ,Socrate,
" Tous les enfants ont du génie, le tout est de la faire apparaître. ",Charlie Chaplin,
" Les enfants aujourd'hui sont de véritables tyrans. Ils contredisent leurs parents, bâfrent leur nourriture et tyrannisent leurs professeurs. ",Socrate,
" Toutes les grandes personnes ont d'abord été des enfants, mais très peu s'en souviennent. ",Antoine de Saint-Exupéry,
 Entre nos ennemis ; Le plus à craindre sont souvent les plus petits. ,Jean de La Fontaine,    Le Lion et le Moucheron                                
 Ce qui ne me passionne pas m'ennuie. ,Sacha Guitry,
" Tout me lasse ; je remorque avec peine mon ennui avec mes jours, et je vais partout bâillant ma vie. ",François René de Chateaubriand,    Mémoires d'outre-tombe                                
" À voir ce que l'école exige aujourd'hui de nos fils, je me demande combien de pères seraient capables d'être des enfants. ",Paul Morand,    Eloge du repos                                
" Nous nous trompons toujours deux fois sur ceux que nous aimons : d'abord à leur avantage, puis à leur désavantage. ",Albert Camus,
 Le trop de promptitude à l'erreur nous expose. ,Pierre Corneille,
" Le propre de l'homme est sans doute de se tromper en compagnie, et de n'en point démordre aisément. ",Alain,
 Dieu a donné une sœur au souvenir et il l'a appelée espérance. ,Michel-Ange,
" L'espérance et la crainte sont inséparables, et il n'y a point de crainte sans espérance ni d'espérance sans crainte. ",La Rochefoucauld,    Maximes                                
" Parfois notre lumière s'éteint, puis elle est rallumée par un autre être humain. Chacun de nous doit de sincères remerciements à ceux qui ont ravivé leur flamme. ",Albert Schweitzer,
 On ne donne aux gens que l'espoir que l'on a. ,Alain,    Propos sur le bonheur                                
 C'est la nuit qu'il est beau de croire à la lumière. ,Edmond Rostand,    Chantecler                                
 Les gens ne voient que ce qu'ils sont préparés à voir. ,Ralph Waldo Emerson,
 Il y a des choses qui viennent à l'esprit même de ceux qui n'en ont pas. ,Eugène Ionesco,
